Patient Id,Message Id
14722,7400
14722,7398
14722,7397
14722,7399
14723,7398
14723,7400
14724,7398
14723,7397
14723,7399
14724,7400
14724,7397
14724,7399
14725,7398
14725,7400
14726,7398
14725,7397
14726,7400
14725,7399
14726,7397
14726,7399
14727,7400
14727,7398
14727,7397
14727,7399
14728,7400
14728,7398
14730,7398
14730,7400
14730,7397
14730,7399
14732,7400
14732,7398
14732,7399
14732,7397
14735,7400
14735,7398
14722,7404
14724,7404
14725,7404
14723,7404
14728,7404
14727,7404
14726,7404
14730,7404
14731,7404
14732,7404
14735,7404
14736,7404
14738,7404
14765,7400
14765,7398
14765,7397
14765,7399
14770,7398
14766,7400
14769,7400
14769,7398
14767,7400
14767,7398
14766,7398
14769,7397
14767,7399
14770,7399
14766,7397
14767,7397
14770,7397
14766,7399
14769,7399
14773,7398
14771,7398
14771,7400
14773,7400
14772,7398
14771,7399
14771,7397
14770,7400
14772,7400
14773,7399
14772,7397
14772,7399
14773,7397
14777,7398
14779,7398
14779,7400
14780,7400
14777,7400
14780,7398
14779,7399
14780,7399
14777,7397
14779,7397
14780,7397
14777,7399
14781,7400
14785,7400
14782,7398
14782,7400
14781,7398
14785,7398
14786,7398
14781,7397
14781,7399
14785,7397
14782,7397
14782,7399
14785,7399
14788,7398
14788,7400
14789,7398
14789,7400
14786,7400
14765,7404
14766,7404
14770,7404
14769,7404
14767,7404
14781,7404
14772,7404
14773,7404
14779,7404
14777,7404
14780,7404
14771,7404
14790,7404
14786,7404
14788,7404
14792,7404
14782,7404
14789,7404
14791,7404
14785,7404
14738,7434
14738,7430
14723,7430
14723,7434
14738,7432
14723,7432
14844,7400
14844,7398
14722,7394
14844,7399
14844,7397
14722,7393
14847,7398
14847,7400
14848,7400
14848,7398
14847,7397
14847,7399
14849,7400
14849,7398
14849,7399
14849,7397
14850,7398
14850,7400
14850,7397
14850,7399
14852,7400
14852,7398
14852,7399
14852,7397
14853,7400
14853,7398
14854,7398
14854,7400
14854,7399
14854,7397
14844,7404
14847,7404
14849,7404
14848,7404
14850,7404
14853,7404
14854,7404
14852,7404
14857,7404
14858,7404
14860,7404
14779,7413
14726,7417
14844,7417
14726,7416
14844,7416
14779,7412
14726,7419
14844,7419
14726,7418
14844,7418
14723,7437
14738,7437
14738,7436
14723,7436
14781,7413
14781,7412
14726,7421
14844,7421
14726,7420
14844,7420
14723,7440
14738,7440
14738,7444
14723,7444
14723,7442
14738,7442
14726,7424
14844,7424
14844,7428
14726,7428
14726,7426
